region,language-1,language-2,language-3
Central,HINDI ,MARATHI ,GUJARATI
East,HINDI ,BENGALI ,MARATHI 
North,HINDI ,PUNJABI ,KASHMIRI 
North-East,HINDI ,BENGALI ,MARATHI 
South,HINDI ,BENGALI ,MARATHI 
West,HINDI ,MARATHI ,GUJARATI
